,date,open,close,high,low,code
1272,2015-06-12,26.216,26.16,26.712,26.01,000776
1273,2015-06-15,26.656,25.365,26.787,25.262,000776
1274,2015-06-16,25.168,25.075,25.851,24.869,000776
1275,2015-06-17,25.224,25.327,25.533,24.551,000776
1276,2015-06-18,25.168,24.251,25.252,23.943,000776
1277,2015-06-19,23.98,23.269,24.757,23.269,000776
1278,2015-06-23,23.363,24.083,24.214,22.679,000776
1279,2015-06-24,24.289,24.205,24.317,23.765,000776
1280,2015-06-25,24.326,23.512,24.747,23.11,000776
1281,2015-06-26,23.147,21.164,23.952,21.164,000776
1282,2015-06-29,21.791,19.648,21.894,19.049,000776
1283,2015-06-30,19.377,21.192,21.444,18.731,000776
1284,2015-07-01,21.052,19.779,21.547,19.583,000776
1285,2015-07-02,20.443,19.695,20.677,19.068,000776
1286,2015-07-03,19.555,18.6,20.238,18.114,000776
1287,2015-07-06,20.462,19.723,20.462,18.189,000776
1288,2015-07-07,19.031,18.993,19.742,17.749,000776
1289,2015-07-08,17.094,17.094,17.487,17.094,000776
1290,2015-07-09,17.094,18.806,18.806,15.428,000776
1291,2015-07-10,18.993,20.687,20.687,18.722,000776
1292,2015-07-13,20.64,20.911,21.744,19.854,000776
1293,2015-07-14,20.116,19.648,20.659,19.508,000776
1294,2015-07-15,19.264,18.058,19.901,17.833,000776
1295,2015-07-16,18.058,18.245,18.9,17.599,000776
1296,2015-07-17,18.357,19.302,19.545,18.32,000776
1297,2015-07-20,19.283,18.834,19.489,18.525,000776
1298,2015-07-21,18.572,18.956,19.48,18.226,000776
1299,2015-07-22,18.797,18.628,19.059,18.432,000776
1300,2015-07-23,18.647,19.143,19.321,18.638,000776
1301,2015-07-24,19.264,18.544,19.414,18.413,000776
1302,2015-07-27,18.198,16.692,18.338,16.692,000776
1303,2015-07-28,16.299,17.973,18.357,15.531,000776
1304,2015-07-29,17.777,18.058,18.273,17.215,000776
1305,2015-07-30,17.861,17.15,18.235,17.047,000776
1306,2015-07-31,16.841,17.449,17.59,16.841,000776
1307,2015-08-03,17.122,17.842,17.87,17.028,000776
1308,2015-08-04,17.777,18.095,18.189,17.431,000776
1309,2015-08-05,17.964,17.468,18.011,17.468,000776
1310,2015-08-06,17.215,17.028,17.468,16.916,000776
1311,2015-08-07,17.028,17.187,17.487,17.019,000776
1312,2015-08-10,17.225,18.254,18.516,17.122,000776
1313,2015-08-11,18.001,17.87,18.32,17.777,000776
1314,2015-08-12,17.73,17.683,18.329,17.637,000776
1315,2015-08-13,17.683,17.917,17.983,17.403,000776
1316,2015-08-14,18.048,18.058,18.245,17.852,000776
1317,2015-08-17,18.029,17.777,18.029,17.543,000776
1318,2015-08-18,17.87,16.299,18.507,16.186,000776
1319,2015-08-19,15.906,16.523,16.626,15.559,000776
1320,2015-08-20,16.299,15.784,16.476,15.765,000776
1321,2015-08-21,15.578,14.409,15.896,14.409,000776
1322,2015-08-24,13.941,12.968,14.034,12.968,000776
1323,2015-08-25,11.854,11.667,12.519,11.667,000776
1324,2015-08-26,11.508,11.199,12.294,10.76,000776
1325,2015-08-27,11.592,12.163,12.163,11.265,000776
1326,2015-08-28,12.303,12.678,12.818,11.995,000776
1327,2015-08-31,12.678,12.594,12.678,11.798,000776
1328,2015-09-01,12.313,12.996,13.024,11.63,000776
1329,2015-09-02,12.303,13.183,13.351,12.257,000776
1330,2015-09-07,13.005,12.631,13.501,12.575,000776
1331,2015-09-08,12.584,13.043,13.099,12.163,000776
1332,2015-09-09,13.117,13.417,13.651,13.015,000776
1333,2015-09-10,13.192,13.099,13.436,13.024,000776
1334,2015-09-11,13.089,13.099,13.277,13.005,000776
