---------------------------------main enter---------------------------
============买入2:buy_count: 74  sell_own: 0.0  盈余: -114820.0  持仓: 7400  比率: 15.4746423927
day 2011-08-01  close: 15.50  ma250: 17.77
============买入1:buy_count: 75  sell_own: 0.0  盈余: -116370.0  持仓: 7500  比率: 14.6451612903
day 2011-08-02  close: 15.24  ma250: 17.78
============买入2:buy_count: 76  sell_own: 0.0  盈余: -117894.0  持仓: 7600  比率: 16.6666666667
day 2011-08-03  close: 15.04  ma250: 17.79
============买入2:buy_count: 77  sell_own: 0.0  盈余: -119398.0  持仓: 7700  比率: 18.2845744681
day 2011-08-04  close: 15.05  ma250: 17.80
============买入2:buy_count: 78  sell_own: 0.0  盈余: -120903.0  持仓: 7800  比率: 18.2724252492
day 2011-08-05  close: 14.53  ma250: 17.81
============买入2:buy_count: 79  sell_own: 0.0  盈余: -122356.0  持仓: 7900  比率: 22.5739848589
day 2011-08-08  close: 13.73  ma250: 17.81
============买入2:buy_count: 80  sell_own: 0.0  盈余: -123729.0  持仓: 8000  比率: 29.7159504734
day 2011-08-09  close: 13.65  ma250: 17.81
============买入3:buy_count: 81  sell_own: 0.0  盈余: -125094.0  持仓: 8100  比率: 30.4761904762
day 2011-08-10  close: 13.76  ma250: 17.81
============买入2:buy_count: 82  sell_own: 0.0  盈余: -126470.0  持仓: 8200  比率: 29.4331395349
day 2011-08-11  close: 14.17  ma250: 17.81
============买入2:buy_count: 83  sell_own: 0.0  盈余: -127887.0  持仓: 8300  比率: 25.6880733945
day 2011-08-12  close: 14.07  ma250: 17.81
============买入2:buy_count: 84  sell_own: 0.0  盈余: -129294.0  持仓: 8400  比率: 26.5813788202
day 2011-08-15  close: 14.31  ma250: 17.81
============买入2:buy_count: 85  sell_own: 0.0  盈余: -130725.0  持仓: 8500  比率: 24.4584206848
day 2011-08-16  close: 14.01  ma250: 17.81
============买入2:buy_count: 86  sell_own: 0.0  盈余: -132126.0  持仓: 8600  比率: 27.1234832263
day 2011-08-17  close: 14.16  ma250: 17.81
============买入2:buy_count: 87  sell_own: 0.0  盈余: -133542.0  持仓: 8700  比率: 25.7768361582
day 2011-08-18  close: 13.81  ma250: 17.81
============买入2:buy_count: 88  sell_own: 0.0  盈余: -134923.0  持仓: 8800  比率: 28.9645184649
day 2011-08-19  close: 13.60  ma250: 17.81
============买入3:buy_count: 89  sell_own: 0.0  盈余: -136283.0  持仓: 8900  比率: 30.9558823529
day 2011-08-22  close: 13.65  ma250: 17.80
============买入3:buy_count: 90  sell_own: 0.0  盈余: -137648.0  持仓: 9000  比率: 30.4029304029
day 2011-08-23  close: 14.03  ma250: 17.80
============买入2:buy_count: 91  sell_own: 0.0  盈余: -139051.0  持仓: 9100  比率: 26.8709907341
day 2011-08-24  close: 14.04  ma250: 17.80
============买入2:buy_count: 92  sell_own: 0.0  盈余: -140455.0  持仓: 9200  比率: 26.7806267806
day 2011-08-25  close: 14.76  ma250: 17.81
============买入2:buy_count: 93  sell_own: 0.0  盈余: -141931.0  持仓: 9300  比率: 20.6639566396
day 2011-08-26  close: 14.56  ma250: 17.81
